title,release_date,genres,original_language,vote_average,vote_count,popularity,budget,production_companies,revenue,runtime,profit
Lightyear,2022-06-15,"['Animation', 'Action', 'Adventure', 'Family', 'Science Fiction']",English,7.1,2816,105.761,200000000,"['Pixar', 'Walt Disney Pictures']",226425420,105,26425420
Bad Luck Banging or Loony Porn,2021-04-29,['Comedy'],Romanian,6.5,151,106.755,0,"['Paul Thiltges Distributions', 'Endorfilm', 'Kinorama', 'Bord Cadre Films', 'Sovereign Films', 'Aqua Carpatica', 'ArteKino International', 'Covalact', 'Hrvatski Audiovizualni Centar', 'Czech Film Fund', 'Film Fund Luxemburg', 'microFILM']",0,106,0
The Suicide Squad,2021-07-28,"['Action', 'Comedy', 'Adventure']",English,7.6,7257,97.794,185000000,"['DC Films', 'Atlas Entertainment', 'The Safran Company', 'Warner Bros. Pictures']",168717425,132,-16282575
Memory,2022-04-28,"['Action', 'Thriller', 'Crime']",English,7.0,1201,111.323,30000000,"['Black Bear Pictures', 'Welle Entertainment', 'Saville Productions', 'Open Road Films']",11300000,114,-18700000
The Hunger Games: Mockingjay - Part 1,2014-11-19,"['Science Fiction', 'Adventure', 'Thriller']",English,6.8,14364,114.415,125000000,"['Lionsgate', 'Color Force']",755356711,123,630356711
Morbius,2022-03-30,"['Action', 'Science Fiction', 'Fantasy']",English,6.2,3416,99.132,75000000,"['Columbia Pictures', 'Avi Arad Productions', 'Matt Tolmach Productions']",167460961,105,92460961
Inspector Sun and the Curse of the Black Widow,2022-12-28,"['Animation', 'Family']",Spanish,6.8,121,85.374,0,"['The Thinklab', 'Kapers Animation', '3 Doubles Producciones', 'Particular Crowd', 'RTVE']",0,90,0
The Lion King,1994-06-23,"['Family', 'Animation', 'Drama']",English,8.3,16492,96.131,45000000,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",763455561,89,718455561
The Jack in the Box: Awakening,2022-02-24,['Horror'],English,6.4,276,88.96,0,['Fowler Media'],195189,89,195189
Rain Town,2011-03-02,"['Animation', 'Drama']",Japanese,6.7,23,162.557,0,['Independent'],0,10,0
Shrek 2,2004-05-19,"['Animation', 'Family', 'Comedy', 'Fantasy', 'Adventure', 'Romance']",English,7.2,10970,94.815,150000000,"['DreamWorks Pictures', 'Pacific Data Images', 'DreamWorks Animation']",928760770,93,778760770
The Tomorrow War,2021-09-03,"['Action', 'Science Fiction', 'Adventure']",English,7.5,2501,91.254,200000000,"['Skydance Media', 'Phantom Four', 'Lit Entertainment Group']",14400000,138,-185600000
Ratatouille,2007-06-28,"['Animation', 'Comedy', 'Family', 'Fantasy']",English,7.8,15217,88.002,150000000,"['Pixar', 'Walt Disney Pictures']",623726000,111,473726000
The Godfather,1972-03-14,"['Drama', 'Crime']",English,8.7,17865,113.216,6000000,"['Paramount', 'Alfran Productions']",245066411,175,239066411
The Boss Baby: Family Business,2021-07-01,"['Animation', 'Comedy', 'Adventure', 'Family']",English,7.5,2189,86.736,82000000,"['DreamWorks Animation', 'Universal Pictures']",146745280,107,64745280
Wolf Hound,2022-06-03,"['War', 'Action']",English,6.6,80,92.393,0,['TMU Pictures'],0,127,0
Coco,2017-10-27,"['Family', 'Animation', 'Fantasy', 'Music', 'Comedy', 'Adventure']",English,8.2,17159,86.284,175000000,"['Pixar', 'Walt Disney Pictures']",800526015,105,625526015
Raya and the Last Dragon,2021-03-03,"['Animation', 'Family', 'Fantasy', 'Action', 'Adventure']",English,7.9,6009,83.445,100000000,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",130423032,107,30423032
The Invitation,2022-08-24,"['Horror', 'Thriller']",English,6.3,529,93.688,10000000,"['Screen Gems', 'Mid Atlantic Films', 'TSG Entertainment']",33628000,105,23628000
Eternals,2021-11-03,"['Science Fiction', 'Action', 'Adventure']",English,7.0,7093,129.089,200000000,['Marvel Studios'],402064899,156,202064899
Tom and Jerry Snowman's Land,2022-09-06,"['Family', 'Comedy', 'Animation', 'Adventure']",English,6.9,31,99.904,0,"['Warner Bros. Animation', 'Turner Entertainment']",0,76,0
Avengers: Endgame,2019-04-24,"['Adventure', 'Science Fiction', 'Action']",English,8.3,23090,101.337,356000000,['Marvel Studios'],2794731755,181,2438731755
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,"['Adventure', 'Fantasy', 'Action']",English,7.8,18708,88.516,140000000,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",655011224,143,515011224
Enola Holmes 2,2022-11-04,"['Adventure', 'Mystery', 'Comedy', 'Crime']",English,7.6,1973,80.861,0,"['Legendary Pictures', 'PCMA Productions']",0,129,0
Mean Girls,2004-04-30,['Comedy'],English,7.2,7701,80.6,17000000,"['Broadway Video', 'Paramount', 'M.G. Films']",130126277,97,113126277
The Croods: A New Age,2020-11-25,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']",English,7.5,3339,91.233,65000000,"['Universal Pictures', 'DreamWorks Animation']",215905815,95,150905815
On the Beach,1985-08-24,['Drama'],Japanese,5.0,8,98.664,0,['Nikkatsu Corporation'],0,67,0
Crawlspace,2022-03-31,['Thriller'],English,6.5,85,85.213,0,"['SP Media Group', 'Wonder Street', 'Front Street Pictures']",0,90,0
Oscenità,1980-02-14,['Drama'],Italian,7.0,20,129.957,0,"['G.R.P. Cinematografica', 'Cinestampa Internazionale']",0,84,0
The Conjuring: The Devil Made Me Do It,2021-05-25,"['Horror', 'Mystery', 'Thriller']",English,7.5,5080,89.355,39000000,"['New Line Cinema', 'The Safran Company', 'Atomic Monster']",206431050,111,167431050
Tetris,2023-03-15,"['Thriller', 'History', 'Drama']",English,7.8,549,81.889,0,"['Marv Films', 'AI Film', 'Unigram', 'Cloudy Productions']",0,118,0
Resident Evil: Welcome to Raccoon City,2021-11-24,"['Horror', 'Science Fiction', 'Action']",English,6.1,2045,88.701,40000000,"['Constantin Film', 'Davis Films', 'Screen Gems', 'CAPCOM', 'Impact Pictures']",38600612,107,-1399388
The Big 4,2022-12-19,"['Action', 'Comedy', 'Crime']",Indonesian,7.1,152,107.588,0,['Frontier Pictures'],0,141,0
Titanic,1997-11-18,"['Drama', 'Romance']",English,7.9,22838,108.782,200000000,"['Paramount', '20th Century Fox', 'Lightstorm Entertainment']",2264162353,194,2064162353
Pirates of the Caribbean: On Stranger Tides,2011-05-14,"['Adventure', 'Action', 'Fantasy']",English,6.5,12802,98.153,379000000,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company']",1045713802,137,666713802
Dog,2022-02-17,"['Drama', 'Comedy']",English,7.4,1196,88.866,20000000,"['FilmNation Entertainment', 'Metro-Goldwyn-Mayer', 'Free Association']",77263354,102,57263354
The Minute You Wake Up Dead,2022-11-04,"['Thriller', 'Crime']",English,5.8,52,90.679,0,"['Andrew Stevens Entertainment', 'Eyevox Entertainment', 'Milestone Studios']",0,90,0
Three Steps Above Heaven,2010-12-03,"['Romance', 'Drama']",Spanish,7.8,2711,83.345,0,['Atresmedia'],0,122,0
Whisper,2022-01-23,"['Horror', 'Thriller']",English,6.4,56,76.957,20000,['Greenway Entertainment'],0,76,-20000
The Maze Runner,2014-09-10,"['Action', 'Mystery', 'Science Fiction', 'Thriller']",English,7.2,15543,85.947,34000000,"['Ingenious Media', 'Gotham Group', 'Dayday Films', 'Temple Hill Entertainment', 'TSG Entertainment', '20th Century Fox']",348319861,113,314319861
Out of the Blue,2022-08-26,"['Thriller', 'Romance']",English,5.5,26,97.124,0,"['BondIt Media Capital', 'Contemptible Entertainment', 'The Squid Farm']",0,105,0
Project Wolf Hunting,2022-09-21,"['Action', 'Thriller', 'Adventure', 'Horror']",Korean,6.6,122,109.239,0,"['The Contents On', 'Contents G', 'Cheum Film', 'Finecut']",0,122,0
Maneater,2022-08-26,"['Mystery', 'Thriller', 'Horror']",English,4.9,45,88.051,0,"['Hillin Entertainment', 'BGG Capital', 'Film Bridge International']",0,86,0
Secret Headquarters,2022-08-12,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Family']",English,6.7,260,88.627,0,"['Paramount', 'Jerry Bruckheimer Films']",0,104,0
Oh Belinda,2023-04-07,"['Drama', 'Comedy', 'Fantasy']",Turkish,6.4,28,107.239,0,['OGM Pictures'],0,97,0
Star Wars,1977-05-25,"['Adventure', 'Action', 'Science Fiction']",English,8.2,18580,90.988,11000000,"['Lucasfilm Ltd.', '20th Century Fox']",775398007,121,764398007
The Battle at Lake Changjin: Water Gate Bridge,2022-02-01,"['War', 'History', 'Action', 'Drama']",Chinese,6.9,45,84.463,200000000,['Bona Film Group'],626203271,149,426203271
Saint Seiya: Evil Goddess Eris,1987-07-18,"['Action', 'Animation', 'Fantasy']",Japanese,7.1,176,78.571,0,['Toei Animation'],0,46,0
Polar,2022-10-26,"['Action', 'Adventure', 'Thriller']",Spanish,6.6,20,91.003,0,['Cilantro Films'],0,76,0
Deadpool,2016-02-09,"['Action', 'Adventure', 'Comedy']",English,7.6,28311,91.493,58000000,"['20th Century Fox', ""The Donners' Company"", 'Genre Films']",783100000,108,725100000
Big Hero 6,2014-10-24,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",English,7.7,14407,88.525,165000000,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",657827828,102,492827828
Viking Wolf,2022-11-18,"['Horror', 'Thriller', 'Mystery']",Norwegian,5.9,214,78.134,0,"['Filmkameratene', 'REinvent Studios']",0,97,0
Hunt,2022-08-10,"['Thriller', 'Action']",Korean,6.9,64,151.84,17000000,"['Sanai Pictures', 'Artist Company']",0,131,-17000000
Me Before You,2016-06-01,"['Drama', 'Romance']",English,7.9,11099,94.875,20000000,"['New Line Cinema', 'Sunswept Entertainment', 'Metro-Goldwyn-Mayer']",207945075,110,187945075
Paradise City,2022-11-11,"['Action', 'Crime', 'Thriller']",English,5.8,87,99.19,20000000,"['308 Enterprises', 'Arcana Studio', 'BondIt Media Capital', 'Buffalo 8 Productions', 'Grandave Capital', 'Yale Productions', 'Saban Films']",0,93,-20000000
How to Train Your Dragon: The Hidden World,2019-01-03,"['Animation', 'Family', 'Adventure']",English,7.8,5634,76.374,129000000,"['DreamWorks Animation', 'Mad Hatter Entertainment']",524580592,104,395580592
Dragon Ball Z: Bardock - The Father of Goku,1990-10-17,"['Animation', 'Action', 'Science Fiction', 'Drama', 'Fantasy']",Japanese,7.5,553,79.382,0,"['Bird Studios', 'Toei Animation', 'Toei Company']",0,48,0
The Amazing Spider-Man 2,2014-04-16,"['Action', 'Adventure', 'Fantasy']",English,6.5,11949,85.855,200000000,"['Marvel Entertainment', 'Columbia Pictures', 'Matt Tolmach Productions', 'Avi Arad Productions']",708962323,141,508962323
Naruto Shippuden the Movie,2007-08-04,"['Animation', 'Action', 'Fantasy']",Japanese,7.2,657,86.353,0,['Pierrot'],10000000,94,10000000
Dragon Ball Z: Resurrection 'F',2015-04-18,"['Action', 'Animation', 'Science Fiction']",Japanese,6.8,1637,91.584,5000000,"['Fox International Productions', 'Toei Animation', 'Fizz Sound Creation', 'Toei Company', '20th Century Fox', '20th Century Fox Animation']",61768190,93,56768190
Two Witches,2023-03-02,['Horror'],English,6.3,32,148.641,0,"['Incubo Films', 'The Rancon Company']",0,95,0
The Sea Beast,2022-06-24,"['Animation', 'Adventure', 'Family', 'Fantasy']",English,7.5,1137,75.69,0,['Netflix'],0,119,0
Detective Conan: Black Iron Submarine,2023-04-14,"['Animation', 'Action', 'Crime', 'Mystery']",Japanese,6.1,8,105.636,0,"['TMS Entertainment', 'Shogakukan', 'Yomiuri Telecasting Corporation', 'Nippon Television Network Corporation', 'Shogakukan-Shueisha Productions', 'TOHO']",0,110,0
Jack Reacher,2012-12-20,"['Crime', 'Drama', 'Thriller', 'Action']",English,6.6,6284,110.429,60000000,"['Skydance Media', 'H2L Media ""AKA"" Mutual Film Company', 'H2L Media Group', 'TC Productions', 'Mutual Films', 'Paramount']",218340595,130,158340595
Shazam!,2019-03-29,"['Action', 'Comedy', 'Fantasy']",English,7.0,8514,83.535,80000000,"['New Line Cinema', 'The Safran Company', 'Seven Bucks Productions', 'DC Films', 'Warner Bros. Pictures']",366080049,132,286080049
Gabriel's Inferno: Part II,2020-07-31,['Romance'],English,8.4,1469,62.839,0,['PassionFlix'],0,105,0
Saint Seiya: Legend of Crimson Youth,1988-07-23,"['Action', 'Animation', 'Fantasy']",Japanese,7.6,161,80.403,0,['Toei Animation'],0,75,0
Lost Bullet 2,2022-11-10,"['Action', 'Crime', 'Thriller']",French,6.5,273,87.507,0,"['Nolita', 'Versus Production', 'Inoxy Films']",0,98,0
Saint Seiya: Warriors of the Final Holy Battle,1989-03-18,"['Action', 'Animation', 'Fantasy']",Japanese,7.3,173,82.623,0,['Toei Animation'],0,45,0
Breaking,2022-08-25,"['Crime', 'Drama', 'Thriller']",English,6.7,80,80.338,0,"['Salmira Productions', 'Little Lamb Productions', 'Epic', 'UpperRoom Productions']",0,103,0
The Princess and the Frog,2009-12-08,"['Romance', 'Family', 'Animation']",English,7.2,4891,87.806,105000000,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",270997378,98,165997378
Real Steel,2011-09-28,"['Action', 'Science Fiction', 'Drama']",English,7.0,7289,83.726,110000000,"['Touchstone Pictures', 'ImageMovers', 'Angry Films', 'Kontsept Film Company', 'Revolution Sun Studios', 'DreamWorks Pictures', 'Reliance Entertainment', '21 Laps Entertainment']",299268508,127,189268508
Dragon Knight,2022-03-21,"['Fantasy', 'Adventure', 'Action']",English,6.7,38,86.476,0,['Hex Studios'],0,99,0
After We Collided,2020-09-02,"['Romance', 'Drama']",English,7.2,4927,143.228,0,"['Voltage Pictures', 'Offspring Entertainment', 'Frayed Pages Entertainment', 'Wattpad']",42000000,105,42000000
The Matrix Resurrections,2021-12-16,"['Science Fiction', 'Action', 'Adventure']",English,6.5,4719,82.869,190000000,"['Warner Bros. Pictures', 'Village Roadshow Pictures', 'Venus Castina Productions']",156497322,147,-33502678
To Kill the Beast,2021-12-10,"['Mystery', 'Fantasy', 'Thriller']",Spanish,6.1,138,77.564,0,"['Caudillo Cine', 'Estudio Giz', 'Oro Films']",0,89,0
The Pale Blue Eye,2022-12-22,['Crime'],English,7.0,1281,101.521,72000000,"['Cross Creek Pictures', 'Le Grisbi Productions']",0,130,-72000000
Fighting Spirit - Mashiba vs. Kimura,2003-09-05,"['Animation', 'Comedy', 'Drama', 'Action']",Japanese,6.0,20,77.258,0,"['Madhouse', 'Discotek Media']",0,60,0
The Equalizer,2014-09-24,"['Thriller', 'Action', 'Crime']",English,7.2,7804,91.659,55000000,"['Lonetree Entertainment', 'Columbia Pictures', 'Village Roadshow Pictures', 'Escape Artists', 'LStar Capital', 'Mace Neufeld Productions']",192330738,132,137330738
Iron Man 2,2010-04-28,"['Adventure', 'Action', 'Science Fiction']",English,6.8,19238,85.064,200000000,['Marvel Studios'],623933331,124,423933331
Spider-Man: Into the Spider-Verse,2018-12-14,"['Action', 'Adventure', 'Animation', 'Science Fiction']",English,8.4,12681,89.416,90000000,"['Columbia Pictures', 'Lord Miller Productions', 'Pascal Pictures', 'Sony Pictures Animation', 'Avi Arad Productions']",375464627,117,285464627
Free Guy,2021-08-11,"['Comedy', 'Adventure', 'Science Fiction']",English,7.6,7147,82.161,110000000,"['Berlanti Productions', '21 Laps Entertainment', 'Maximum Effort', 'Lit Entertainment Group', '20th Century Studios']",331526598,115,221526598
Triangle of Sadness,2022-09-18,"['Comedy', 'Drama']",English,7.2,1256,85.194,15600000,"['30WEST', 'ARTE', 'BBC Film', 'TRT', 'Turkish Radio & Television', 'Bord Cadre Films', 'Coproduction Office', 'Film i Väst', 'Heretic', 'Imperative Entertainment', 'Piano', 'Sovereign Films', 'Plattform Produktion', 'SVT', 'Svensk Filminspelning', 'Essential Films', 'ZDF', 'Svenska Filminstitutet', 'Eurimages', 'Medienboard Berlin-Brandenburg', 'The Danish Film Institute', 'Canal+', 'Ciné+', 'DR', 'Nordisk Film & TV Fond', 'BFI', 'MOIN Filmförderung Hamburg Schleswig-Holstein', 'SF Studios', 'Bac Films', 'Curzon Film World']",24733572,147,9133572
Ice Age,2002-03-10,"['Animation', 'Comedy', 'Family', 'Adventure']",English,7.3,11948,87.096,59000000,"['20th Century Fox', 'Blue Sky Studios', '20th Century Fox Animation']",383257136,81,324257136
Fullmetal Alchemist: The Revenge of Scar,2022-05-20,"['Fantasy', 'Action', 'Adventure']",Japanese,6.7,169,73.287,0,"['Warner Bros. Japan', 'Oxybot']",0,125,0
Red Notice,2021-11-04,"['Action', 'Comedy', 'Crime', 'Thriller']",English,6.8,4833,80.982,160000000,"['Flynn Picture Company', 'Seven Bucks Productions', 'Bad Version']",178143,118,-159821857
San Andreas,2015-05-27,"['Action', 'Drama', 'Thriller']",English,6.2,7632,82.872,110000000,"['New Line Cinema', 'Village Roadshow Pictures', 'Flynn Picture Company', 'Warner Bros. Pictures']",473990832,114,363990832
The Conjuring,2013-07-18,"['Horror', 'Thriller']",English,7.5,10341,78.522,13000000,"['Evergreen Media Group', 'New Line Cinema', 'The Safran Company']",320406242,112,307406242
Twilight,2008-11-20,"['Fantasy', 'Drama', 'Romance']",English,6.3,12366,97.937,37000000,"['Summit Entertainment', 'Temple Hill Entertainment', 'Maverick Films', 'Imprint Entertainment', 'Goldcrest', 'Twilight Productions']",393616788,122,356616788
"I, Robot",2004-07-15,"['Action', 'Science Fiction']",English,6.9,10656,66.732,120000000,"['Davis Entertainment', 'Laurence Mark Productions', 'Canlaws Productions', '20th Century Fox', 'Overbrook Entertainment', 'Mediastream Vierte Film GmbH & Co. Vermarktungs KG']",347234916,115,227234916
Pearl,2022-09-16,['Horror'],English,7.4,685,84.386,1000000,"['A24', 'Little Lamb Productions']",9423445,102,8423445
Deadpool 2,2018-05-10,"['Action', 'Comedy', 'Adventure']",English,7.5,15861,82.901,110000000,"['Maximum Effort', 'Genre Films', '20th Century Fox']",785896609,120,675896609
Air,2023-04-05,"['Drama', 'History']",English,7.6,234,100.801,90000000,"['Amazon Studios', 'Skydance Sports', 'Mandalay Pictures', 'Artists Equity']",80450741,112,-9549259
Pirates of the Caribbean: At World's End,2007-05-19,"['Adventure', 'Fantasy', 'Action']",English,7.2,12980,86.029,300000000,"['Jerry Bruckheimer Films', 'Second Mate Productions', 'Walt Disney Pictures']",961000000,168,661000000
Boyka: Undisputed IV,2016-08-01,"['Action', 'Drama']",English,7.1,1132,77.63,0,['Nu Boyana Viburno'],0,87,0
Saint Seiya: The Heated Battle of the Gods,1988-03-12,"['Action', 'Animation', 'Fantasy']",Japanese,7.5,139,72.011,0,['Toei Animation'],0,46,0
Last Seen Alive,2022-05-19,"['Action', 'Thriller']",English,6.6,704,74.808,0,['Voltage Pictures'],0,95,0
Avengers: Age of Ultron,2015-04-22,"['Action', 'Adventure', 'Science Fiction']",English,7.3,21240,88.098,365000000,['Marvel Studios'],1405403694,141,1040403694
Wrath of Man,2021-04-22,"['Action', 'Adventure', 'Crime', 'Thriller']",English,7.7,4372,103.587,40000000,"['Miramax', 'Metro-Goldwyn-Mayer', 'Toff Guy Films', 'Flic Films UK']",103966489,119,63966489
Mighty Morphin Power Rangers: Once & Always,2023-04-19,"['Action', 'Adventure', 'Science Fiction', 'Family']",English,6.8,161,67.41,0,"['Toei Company', 'Entertainment One']",0,59,0
Ranma ½: The Movie 2 — The Battle of Togenkyo: Rescue the Brides!,1992-08-02,"['Action', 'Comedy', 'Animation']",Japanese,8.0,81,75.867,0,"['Studio Deen', 'VIZ Media']",0,63,0
Champions,2023-03-09,['Comedy'],English,7.0,104,78.599,0,"['Gold Circle Films', 'Focus Features']",9263009,124,9263009
The Rape,1982-05-15,['Drama'],Japanese,3.5,5,85.804,0,['Gentosha'],0,100,0
Warriors of Future,2022-08-05,"['Drama', 'Action', 'Science Fiction']",Chinese,7.3,298,75.467,0,"['One Cool Film Production', 'Media Asia Films', 'World Universal Culture Limited', 'iQIYI Pictures', 'Tianjin Maoyan Media', 'CMC Pictures', 'Shenzhen Film Studio']",100730000,101,100730000
The Bad Guys,2022-03-17,"['Animation', 'Action', 'Adventure', 'Crime', 'Comedy', 'Family']",English,7.7,1498,72.191,80000000,"['DreamWorks Animation', 'Universal Pictures']",250162278,100,170162278
Ghosts of the Ozarks,2022-02-04,"['Western', 'Horror', 'Mystery']",English,6.3,16,74.878,0,['HCT Media'],0,100,0
The King's Man,2021-12-22,"['Action', 'Adventure', 'Thriller', 'War', 'Mystery']",English,6.8,3681,85.125,100000000,"['Marv Films', 'Cloudy Productions', '20th Century Studios']",125928656,131,25928656
Cars 3,2017-06-15,"['Animation', 'Adventure', 'Comedy', 'Family']",English,6.9,5056,85.695,175000000,['Pixar'],383925276,102,208925276
Clifford the Big Red Dog,2021-11-10,"['Family', 'Adventure', 'Comedy', 'Fantasy']",English,7.2,1551,68.433,64000000,"['Paramount', 'Entertainment One', 'Kerner Entertainment Company', 'Scholastic Entertainment', 'New Republic Pictures', 'Walden Media']",107347356,97,43347356
Grimcutty,2022-10-10,['Horror'],English,5.3,285,70.013,0,['20th Digital Studio'],0,101,0
Four's a Crowd,2022-10-28,['Comedy'],Spanish,6.5,62,72.336,0,"['Pokeepsie Films', 'Telecinco Cinema', 'Mediaset España', 'Movistar+']",0,99,0
Soft & Quiet,2022-11-04,"['Drama', 'Horror', 'Mystery', 'Thriller']",English,6.2,42,134.084,0,"['Second Grade Teacher Productions', 'Blumhouse Productions', 'Momentum Pictures']",0,91,0
A Quiet Place,2018-04-03,"['Horror', 'Drama', 'Science Fiction']",English,7.4,12690,68.117,17000000,"['Paramount', 'Platinum Dunes']",341000000,91,324000000
Hidden Figures,2016-12-10,"['Drama', 'History']",English,8.1,8619,83.695,25000000,"['Fox 2000 Pictures', 'Levantine Films', 'Chernin Entertainment']",235956898,127,210956898
R.M.N.,2022-06-03,['Drama'],Romanian,7.0,64,78.313,0,"['Mobra Films', 'Why Not Productions', 'France 3 Cinéma', 'Les Films du Fleuve', 'Filmgate Films', 'Film iVäst']",450255,125,450255
Astérix & Obélix: The Middle Kingdom,2023-02-01,"['Comedy', 'Adventure', 'Family']",French,4.9,309,95.458,72000000,"['Les Éditions Albert René', 'Les Enfants Terribles', 'Pathé', 'Trésor Films']",0,112,-72000000
Transformers: The Last Knight,2017-06-16,"['Action', 'Adventure', 'Science Fiction']",English,6.1,5480,87.128,217000000,"['Paramount', 'di Bonaventura Pictures', 'Ian Bryce Productions', 'Tom DeSanto/Don Murphy Production']",605425157,154,388425157
Magic Mike's Last Dance,2023-02-09,"['Comedy', 'Drama', 'Romance']",English,7.1,248,95.254,45000000,"['Warner Bros. Pictures', 'Nick Wechsler Productions', 'Free Association']",52000000,112,7000000
Law Abiding Citizen,2009-10-15,"['Drama', 'Crime', 'Thriller']",English,7.3,4419,82.332,53000000,"['The Film Department', 'Evil Twins', 'Warp Films', 'G-BASE', 'Overture Films']",127944208,109,74944208
Slumberland,2022-11-18,"['Family', 'Fantasy']",English,7.5,655,65.485,35000000,"['Chernin Entertainment', 'about:blank']",0,117,-35000000
Fury,2014-10-15,"['War', 'Drama', 'Action']",English,7.5,10720,80.124,68000000,"['Columbia Pictures', 'QED International', 'LStar Capital', 'Le Grisbi Productions', 'Crave Films', 'Sony Pictures', 'Huayi Brothers Pictures']",211817906,135,143817906
Dragon Ball Z: Broly – The Legendary Super Saiyan,1993-03-06,"['Animation', 'Science Fiction', 'Action']",Japanese,7.3,748,77.452,0,"['Toei Company', 'Bird Studios', 'Toei Animation']",21658982,70,21658982
Spider-Man,2002-05-01,"['Fantasy', 'Action']",English,7.3,17063,72.088,139000000,"['Marvel Enterprises', 'Laura Ziskin Productions']",821708551,121,682708551
Erotic Ghost Story,1990-05-19,"['Fantasy', 'Drama', 'Horror']",cn,6.0,28,85.259,0,['Diagonal Pictures'],0,88,0
Grown Ups 2,2013-07-11,['Comedy'],English,6.1,3787,74.169,80000000,"['Columbia Pictures', 'Sony Pictures', 'Happy Madison Productions']",247022278,101,167022278
Seoul Vibe,2022-08-26,"['Action', 'Crime', 'Comedy', 'Adventure']",Korean,6.7,129,74.169,0,['ANDMARQ Studio'],0,140,0
A Bronx Tale,1993-09-14,"['Drama', 'Crime']",English,7.8,1995,76.843,10000000,"['Savoy Pictures', 'HBO Films']",17287898,121,7287898
The Amazing Spider-Man,2012-06-23,"['Action', 'Adventure', 'Fantasy']",English,6.7,15947,80.0,215000000,"['Marvel Entertainment', 'Laura Ziskin Productions', 'Columbia Pictures', 'Matt Tolmach Productions', 'Avi Arad Productions']",757930663,136,542930663
Scream 4,2011-04-11,"['Horror', 'Mystery']",English,6.4,3109,74.147,40000000,"['Dimension Films', 'The Weinstein Company', 'Outerbanks Entertainment']",97231420,111,57231420
Spider-Man: Homecoming,2017-07-05,"['Action', 'Adventure', 'Science Fiction', 'Drama']",English,7.3,19941,89.126,175000000,"['Marvel Studios', 'Pascal Pictures', 'LStar Capital']",880166924,133,705166924
Last Man Down,2022-11-03,"['Action', 'Thriller']",English,6.0,40,69.32,0,"['Daniel Stisen Productions', 'Fansu Film']",0,87,0
The Platform,2019-11-08,"['Drama', 'Science Fiction', 'Thriller']",Spanish,7.0,6062,67.977,600,"['Basque Films', 'Mr. Miyagi', 'EiTB', 'RTVE']",0,95,-600
Hitman: Agent 47,2015-08-20,"['Action', 'Crime', 'Thriller']",English,5.8,2741,77.363,35000000,"['Daybreak Productions', 'Prime Universe Productions', 'Giant Pictures', 'TSG Entertainment', 'Dayday Films', 'Ingenious Media', 'Fox International Productions', 'Deutscher Filmförderfonds', '20th Century Fox', 'Medienboard Berlin-Brandenburg']",81967450,96,46967450
The Open Body,2022-12-09,"['Horror', 'Drama']",Galician,4.5,2,77.942,0,"['AGADIC', 'Fasten Films', 'ICAA', 'OlloVivo Producións', 'Xunta de Galicia', 'RTVE', 'Cinemate']",0,88,0
Mafia Mamma,2023-04-13,"['Crime', 'Comedy']",English,7.2,25,97.933,41000000,"['Idea(L)', 'Vocab Films', 'New Sparta Films', 'Ingenious Media', 'Lipsync Productions', 'Cornerstone Films']",3902761,101,-37097239
Spirited Away,2001-07-20,"['Animation', 'Family', 'Fantasy']",Japanese,8.5,14246,74.783,19000000,['Studio Ghibli'],274925095,125,255925095
Ranma ½: The Movie — The Battle of Nekonron: The Fight to Break the Rules!,1991-11-02,"['Animation', 'Comedy', 'Action', 'Romance']",Japanese,7.1,65,73.673,0,"['Studio Deen', 'VIZ Media', 'Kitty Films']",0,74,0
Monster High: The Movie,2022-10-06,"['Family', 'Fantasy', 'Comedy', 'Adventure', 'Music', 'TV Movie']",English,7.0,166,71.243,0,"['Mattel Television', 'Brightlight Pictures', 'Nickelodeon Productions', 'Lighthouse Pictures']",0,91,0
Iron Man,2008-04-30,"['Action', 'Science Fiction', 'Adventure']",English,7.6,24290,78.14,140000000,['Marvel Studios'],585174222,126,445174222
The Gray Man,2022-07-13,"['Action', 'Thriller']",English,7.0,2866,75.098,200000000,"['AGBO', 'Roth-Kirschenbaum Films', 'Stillking Films', 'Brazil Production Services']",0,128,-200000000
Everything Everywhere All at Once,2022-03-24,"['Action', 'Adventure', 'Science Fiction']",English,7.8,4574,82.623,25000000,"['AGBO', 'Ley Line Entertainment', 'Year of the Rat Productions', 'Hotdog Hands LLC', 'A24', 'IAC Films']",139200000,140,114200000
Dragon Ball Z: Wrath of the Dragon,1995-07-15,"['Animation', 'Action', 'Science Fiction']",Japanese,7.2,595,73.618,0,"['Toei Company', 'Bird Studios', 'Toei Animation']",24000000,51,24000000
Don't Hang Up,2016-10-22,"['Horror', 'Thriller']",English,6.2,441,64.763,0,"['Wild Spark', 'Bigscope Films', ""Don't Hang Up Films""]",0,83,0
